canonical_common_name,scientific_name,family_sci,family_common,order,regions,alpha_4,aliases,is_model_species
Anjouan Brush Warbler,Nesillas longicaudata,Acrocephalidae,Reed Warblers & Allies,Passeriformes,AF,,,0
Anjouan Scops Owl,Otus capnodes,Strigidae,Owl sp.,Strigiformes,AF,,,0
Anjouan Sunbird,Cinnyris comorensis,Nectariniidae,Sunbirds,Passeriformes,AF,,,0
Anjouan White-eye,Zosterops anjuanensis,Zosteropidae,White-eyes,Passeriformes,AF,,,0
Ankober Serin,Crithagra ankoberensis,Fringillidae,Finch sp.,Passeriformes,AF,,,0
Anna's Hummingbird,Calypte anna,Trochilidae,Hummingbird sp.,Apodiformes,NA,ANHU,,1
Annam Limestone Babbler,Gypsophila annamensis,Pellorneidae,Ground Babblers,Passeriformes,OR,,,0
Annam Prinia,Prinia rocki,Cisticolidae,Cisticolas & Allies,Passeriformes,OR,,,0
Annobon Scops Owl,Otus feae,Strigidae,Owl sp.,Strigiformes,AF,,,0
Annobon White-eye,Zosterops griseovirescens,Zosteropidae,White-eyes,Passeriformes,AF,,,0
Ansorge's Greenbul,Eurillas ansorgei,Pycnonotidae,Bulbuls,Passeriformes,AF,,,0
Ant-eating Chat,Myrmecocichla formicivora,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,AF,,,0
Antarctic Petrel,Thalassoica antarctica,Procellariidae,Shearwater/Petrel sp.,Procellariiformes,"SO,AN",,,0
Antarctic Prion,Pachyptila desolata,Procellariidae,Shearwater/Petrel sp.,Procellariiformes,"SO,AN",,,0
Antarctic Shag,Leucocarbo bransfieldensis,Phalacrocoracidae,Cormorant sp.,Suliformes,SO,,,0
Antarctic Tern,Sterna vittata,Laridae,Gull/Tern/Skimmer sp.,Charadriiformes,SO,,,0
Anteater Chat,Myrmecocichla aethiops,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,AF,,,0
Anthony's Nightjar,Nyctidromus anthonyi,Caprimulgidae,Nightjar sp.,Caprimulgiformes,SA,,,0
Antillean Crested Hummingbird,Orthorhyncus cristatus,Trochilidae,Hummingbird sp.,Apodiformes,NA,ANCH,,0
Antillean Nighthawk,Chordeiles gundlachii,Caprimulgidae,Nightjar sp.,Caprimulgiformes,NA,ANNI,,0
Antillean Palm Swift,Tachornis phoenicobia,Apodidae,Swift sp.,Apodiformes,NA,ANPS,,0
Antillean Piculet,Nesoctites micromegas,Picidae,Woodpecker sp.,Piciformes,NA,ANPI,,0
Antillean Siskin,Spinus dominicensis,Fringillidae,Finch sp.,Passeriformes,NA,ANSI,,0
Antioquia Bristle Tyrant,Pogonotriccus lanyoni,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
